èáìä,ñîì_àøõ,ùí_àøõ,àøõ_áàðâìéú
èáìú àøöåú     ,901,-                        ,-
èáìú àøöåú     ,317,àáçæéñèàï                ,ABKHAZISTAN
èáìú àøöåú     ,254,àåâðãä                   ,UGANDA
èáìú àøöåú     ,315,àåæá÷éñèï                ,UZBEKISTAN
èáìú àøöåú     ,510,àåñèøéä                  ,AUSTRIA
èáìú àøöåú     ,860,àåñèøìéä                 ,AUSTRALIA
èáìú àøöåú     ,305,àå÷øàéðä                 ,UKRAINE
èáìú àøöåú     ,820,àåøâååàé                 ,URUGUAY
èáìú àøöåú     ,741,àæåø úòìú ôðîä           ,CANAL ZONE
èáìú àøöåú     ,311,àæøáéâ'àï                ,AZERBAIJAN
èáìú àøöåú     ,64,àéçåã äàîéøåéåú äòøá     ,UNITED ARAB EMIR
èáìú àøöåú     ,670,àéèìéä                   ,ITALY
èáìú àøöåú     ,885,àéé âéìáøè åàìéñ         ,GILBERT  ELLICE ISL
èáìú àøöåú     ,738,àéé äáúåìä               ,VIRGIN ISLAND
èáìú àøöåú     ,884,àéé ååìéñ åôåèåðä        ,WALLIS  FUTUNA ISL
èáìú àøöåú     ,739,àéé èåø÷ñ å÷éé÷åñ        ,TORKAS ISLAND
èáìú àøöåú     ,867,àéé îøùì                 ,MARSHALL ISLANDS
èáìú àøöåú     ,864,àéé ðåøôåì÷              ,NORFOLK ISLA
èáìú àøöåú     ,289,àéé ñééùì                ,SEYCHELLES
èáìú àøöåú     ,832,àéé ôàì÷ìðã              ,FALKLAND
èáìú àøöåú     ,888,àéé ôéâé                 ,FIJI
èáìú àøöåú     ,278,àéé ÷åîåøå               ,COMOROS ISLANDS
èáìú àøöåú     ,887,àéé ÷å÷                  ,COOK ISL
èáìú àøöåú     ,733,àéé ÷ééîï                ,CAYMAN ISLANDS
èáìú àøöåú     ,219,àéé ÷ééô ååøãä           ,CAPE VERDE ISLANDS
èáìú àøöåú     ,861,àéé ùìîä äáøéèééí        ,SOLOMON ISLANDS
èáìú àøöåú     ,130,àéðãåðæéä                ,INDONESIA
èáìú àøöåú     ,581,àéñìðã                   ,ISLAND
èáìú àøöåú     ,691,àéøåôä ìà éãåò           ,EUROPE UNKNOWN
èáìú àøöåú     ,600,àéøìðã                   ,IRELAND
èáìú àøöåú     ,90,àéøï                     ,IRAN
èáìú àøöåú     ,724,àì ñìáãåø                ,EL SALVADOR
èáìú àøöåú     ,440,àìáðéä                   ,ALBANIA
èáìú àøöåú     ,210,àìâéøéä                  ,ALGERIA
èáìú àøöåú     ,852,àîøé÷ä ìà éãåò           ,AMERICA UNKNOWN
èáìú àøöåú     ,281,àðâåìä                   ,ANGOLA
èáìú àøöåú     ,662,àðãåøä                   ,ANDORRA
èáìú àøöåú     ,758,àðèéâåàä åáøáåãä         ,ANTIGUA AND BARBUDA
èáìú àøöåú     ,303,àñèåðéä                  ,ESTONIA
èáìú àøöåú     ,190,àñéä ìà éãåò             ,ASIA UNKNOWN
èáìú àøöåú     ,100,àôâðéñèï                 ,AFGHANISTAN
èáìú àøöåú     ,290,àôøé÷ä ìà éãåò           ,AFRICA UNKNOWN
èáìú àøöåú     ,780,à÷åàãåø                  ,ECUADOR
èáìú àøöåú     ,830,àøâðèéðä                 ,ARGENTINA
èáìú àøöåú     ,249,àøéúøàä                  ,ERITREA
èáìú àøöåú     ,9,àøîðéä                   ,ARMENIA
èáìú àøöåú     ,710,àøöåú äáøéú              ,USA
èáìú àøöåú     ,250,àúéåôéä                  ,ETHIOPIA
èáìú àøöåú     ,905,áãøê ìàøõ                ,ON WAY TO ISRAEL
èáìú àøöåú     ,735,áäîñ                     ,BAHAMAS
èáìú àøöåú     ,115,áåèï                     ,BHUTAN
èáìú àøöåú     ,271,áåèñåàðä                 ,BOTSWANA
èáìú àøöåú     ,420,áåìâøéä                  ,BULGARIA
èáìú àøöåú     ,800,áåìéáéä                  ,BOLIVIA
èáìú àøöåú     ,413,áåñðéä äøöâåáéðä         ,BOSNIA  HERZEGOVINA
èáìú àøöåú     ,285,áåøåðãé                  ,BURUNDI
èáìú àøöåú     ,217,áåø÷éðä ôàñå             ,BURKINA-FASSO
èáìú àøöåú     ,61,áçøééï                   ,BAHREIN
èáìú àøöåú     ,304,áéìåøåñéä                ,BELARUS
èáìú àøöåú     ,906,áìá éí                   ,AT SEA
èáìú àøöåú     ,620,áìâéä                    ,BELGIUM
èáìú àøöåú     ,269,áìéæ                     ,BELIZE
èáìú àøöåú     ,116,áðâìãù                   ,BANGLADESH
èáìú àøöåú     ,214,áðéï )ãäåîé(             ,BENIN (DAHOMEY)
